"cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength"
376,0,0,214.6,0,1003.5,762.4,28,31.97
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
266,114,0,228,0,932,670,180,48.7
254,0,0,198,0,968,863,365,29.79
491,26,123,201,3.9,822,699,28,57.92
254,0,0,198,0,968,863,90,26.94
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
157,236,0,192,0,935.4,781.2,3,9.69
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
164,163,128,197,8,961,641,28,27.23
540,0,0,173,0,1125,613,3,41.64
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
480,0,0,192,0,936,721,3,24.39
339,0,0,197,0,968,781,365,38.89
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
156,178,187,221,7,854,614,28,29.41
190,190,0,228,0,932,670,270,50.66
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
153,102,0,192,0,888,943.1,28,17.96
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
190,190,0,228,0,932,670,365,53.69
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
165,0,150,182,12,1023,729,28,18.03
198.6,132.4,0,192,0,978.4,825.5,7,14.64
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
380,95,0,228,0,932,594,180,40.76
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
500,0,0,200,0,1125,613,270,55.16
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
236,0,0,193,0,968,885,180,24.1
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
275,0,0,183,0,1088,808,28,24.5
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
331,0,0,192,0,978,825,180,39
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
136,162,126,172,10,923,764,28,29.07
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
333,0,0,192,0,931.2,842.6,90,41.68
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
355,19,97,145,12.3,967,871,28,55.45
382,0,0,186,0,1047,739,7,24
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
313.3,145,0,178.5,8,1001.9,688.7,28,41.05
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
237.5,237.5,0,228,0,932,594,7,26.26
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
250,0,0,182,0,1100,820,7,12.73
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
400,0,0,187,0,1025,745,28,43.7
528,0,0,185,6.9,920,720,28,56.83
254,0,0,198,0,968,863,180,27.63
255,0,0,192,0,889.8,945,28,18.75
139.6,209.4,0,192,0,1047,806.9,180,44.21
350,0,0,203,0,974,775,28,27.34
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
525,0,0,189,0,1125,613,3,33.8
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
275,180,120,162,10.4,830,765,28,76.24
277,0,0,191,0,968,856,3,11.36
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
356,119,0,160,9,1061,657,28,59
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
405,0,0,175,0,1120,695,28,52.3
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
198.6,132.4,0,192,0,978.4,825.5,360,44.3
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
239.6,359.4,0,185.7,0,941.6,664.3,7,25.42
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,46.23
331,0,0,192,0,978,825,28,31.45
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
446,24,79,162,11.6,967,712,28,51.02
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
427.5,47.5,0,228,0,932,594,270,43.01
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
325,0,0,184,0,1063,783,7,17.54
331,0,0,192,0,978,825,7,16.26
310,0,0,192,0,1012,830,90,35.76
359,19,141,154,10.9,942,801,7,38.61
203.5,305.3,0,203.5,0,963.4,630,7,19.54
446,24,79,162,11.6,967,712,7,52.01
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
359,19,141,154,10.9,942,801,28,59.49
302,0,0,203,0,974,817,180,26.74
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
192,288,0,192,0,929.8,716.1,7,21.48
252.3,0,98.8,146.3,14.2,987.8,889,3,21.78
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
382.5,0,0,185.7,0,1047.8,739.3,7,24.07
313,161,0,178,10,917,759,28,52.44
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
165,0,143.6,163.8,0,1005.6,900.9,56,36.56
173,116,0,192,0,946.8,856.8,90,32.1
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
522,0,0,146,0,896,896,28,74.99
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
310,0,0,192,0,970,850,7,14.99
212,0,124.8,159,7.8,1085.4,799.5,56,45.08
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
200,133,0,192,0,965.4,806.2,28,30.44
116,173,0,192,0,909.8,891.9,90,31.02
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
342,38,0,228,0,932,670,180,52.12
310,0,0,192,0,970,850,360,38.11
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
525,0,0,189,0,1125,613,90,58.78
238,0,0,185,0,1118,789,28,17.54
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
149,139,109,193,6,892,780,28,23.69
349,0,0,192,0,1056,809,7,9.01
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
387,20,94,157,11.6,938,845,7,41.67
153,145,0,178,8,1000,822,28,19.01
102,153,0,192,0,887,942,3,4.57
300,0,0,184,0,1075,795,7,15.58
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
190,190,0,228,0,932,670,90,42.33
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
540,0,0,173,0,1125,613,28,67.31
238.1,0,94.1,186.7,7,949.9,847,3,19.93
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
393,0,0,192,0,940,758,90,48.79
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
133,210,0,196,3,949,795,28,31.03
167,187,195,185,7,898,636,28,23.89
212,0,124.8,159,7.8,1085.4,799.5,14,31.35
339.2,0,0,185.7,0,1069.2,754.3,28,31.9
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
151,0,184,167,12,991,772,28,15.57
220.8,147.2,0,185.7,0,1055,744.3,7,13.09
349,0,0,192,0,1056,809,120,40.86
281,0,0,186,0,1104,774,7,14.5
480,0,0,192,0,936,721,90,54.28
289,134,0,195,6,924,760,28,46.24
387,20,94,157,13.9,938,845,56,47.97
200,200,0,190,0,1145,660,28,49.25
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
525,0,0,189,0,1125,613,270,67.11
143,169,143,191,8,967,643,28,29.72
387,20,94,157,14.3,938,845,28,50.24
202,11,141,206,1.7,942,801,7,15.07
173,116,0,192,0,946.8,856.8,7,11.39
480,0,0,192,0,936.2,712.2,28,43.94
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
322,0,116,196,10,818,813,28,31.18
166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
339,0,0,185,0,1069,754,7,21.16
277,117,91,191,7,946,666,28,43.57
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
145,0,134,181,11,979,812,28,13.2
203.5,305.3,0,203.5,0,963.4,630,28,41.68
307,0,0,193,0,968,812,28,27.53
389.9,189,0,145.9,22,944.7,755.8,3,40.6
389.9,189,0,145.9,22,944.7,755.8,91,82.6
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
393,0,0,192,0,940.6,785.6,28,39.6
254,0,0,198,0,968,863,3,9.31
255,99,77,189,6,919,749,28,33.8
313,0,113,178,8,1002,689,28,36.8
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
326,0,138,199,11,801,792,28,40.68
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
349,0,0,192,0,1047,806,3,14.99
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
144,15,195,176,6,1021,709,28,15.34
192,288,0,192,0,929.8,716.1,90,50.73
424,22,132,178,8.5,882,750,3,32.01
305,0,100,196,10,959,705,28,30.12
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
355,19,97,145,13.1,967,871,28,44.03
252,0,0,185,0,1111,784,28,19.69
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
321,0,128,182,11,870,780,28,37.26
397,17.2,158,167,20.8,967,633,28,55.65
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
374,0,0,190,7,1013,730,28,39.05
236,157,0,192,0,972.6,749.1,3,13.57
305.3,203.5,0,203.5,0,965.4,631,90,54.6
284,120,0,168,7,970,794,28,40.93
424,22,132,168,8.9,822,750,3,32.11
300,0,0,184,0,1075,795,28,26.85
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
540,0,0,173,0,1125,613,270,74.17
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
141.3,212,0,203.5,0,971.8,748.5,7,10.39
400,0,0,187,0,1025,745,7,30.14
159,149,116,175,15,953,720,28,27.68
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
439,177,0,186,11.1,884.9,707.9,91,73.3
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
304,76,0,228,0,932,670,90,49.19
310,0,0,192,0,1012,830,28,27.83
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
252,97,76,194,8,835,821,28,33.4
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
385,0,0,186,0,966,763,3,14.7
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
339,0,0,197,0,968,781,28,32.04
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
326,166,0,174,9,882,790,28,61.23
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
102,153,0,192,0,887,942,7,7.68
108.3,162.4,0,203.5,0,938.2,849,28,20.59
198.6,132.4,0,192,0,978.4,825.5,28,28.02
342,38,0,228,0,932,670,90,50.46
446,24,79,162,11.6,967,712,7,38.02
284,15,141,179,5.5,842,801,7,24.13
262,111,86,195,5,895,733,28,33.72
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
200,133,0,192,0,965.4,806.2,90,43.25
190.7,0,125.4,162.1,7.8,1090,804,3,15.04
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
153.1,145,113,178.5,8,867.2,824,28,26.23
350,0,0,203,0,974,775,56,29.98
273,0,90,199,11,931,762,28,32.24
397,0,0,185,0,1040,734,28,39.09
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
252,0,0,186,0,1111,784,7,11.47
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
295,0,0,185,0,1069,769,7,14.8
450.1,50,0,200,3,1124.4,613.2,28,39.38
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
385,0,0,186,0,966,763,28,31.35
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
108.3,162.4,0,203.5,0,938.2,849,7,7.72
375,0,0,186,0,1038,758,28,38.21
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
349,0,0,192,0,1047,806.9,3,15.05
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
277,116.8,91,190.6,7,946.5,665.6,28,43.58
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
300,0,120,212,10,878,728,28,23.84
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
381.4,0,0,185.7,0,1104.6,784.3,7,14.54
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
425,106.3,0,151.4,18.6,936,803.7,56,64.9
525,0,0,189,0,1125,613,7,42.42
366,187,0,191,7,824,757,28,65.91
387,20,94,157,11.6,938,845,56,61.46
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
155,183,0,193,9,877,868,28,23.79
202,11,141,206,1.7,942,801,28,21.97
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
380,0,0,228,0,932,670,180,53.1
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
424,22,132,168,8.9,822,750,28,72.1
190.7,0,125.4,162.1,7.8,1090,804,100,40.57
525,0,0,189,0,1125,613,28,55.94
385,0,136,158,20,903,768,28,55.55
146,173,0,182,3,986,817,28,23.74
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
162,190,148,179,19,838,741,28,33.76
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23
380,0,0,228,0,932,670,90,52.91
132,207,161,179,5,867,736,28,33.3
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
310,0,0,192,0,970,850,90,34.68
304,76,0,228,0,932,670,270,54.38
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
252,0,0,185,0,1111,784,7,13.71
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65
153,239,0,200,6,1002,684,28,26.86
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64
238.1,0,94.1,186.7,7,949.9,847,28,30.23
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
173,116,0,192,0,946.8,856.8,28,24.28
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
331,0,0,192,0,978,825,90,37.23
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12
289,0,0,192,0,913.2,895.3,28,25.57
288,192,0,192,0,932,717.8,7,23.52
150,237,0,174,12,1069,675,28,37.43
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
500,0,0,151,9,1033,655,28,69.84
304,76,0,228,0,932,670,365,55.26
540,0,0,173,0,1125,613,14,59.76
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
310,0,0,192,0,970,850,180,37.33
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
389.9,189,0,145.9,22,944.7,755.8,7,59.09
424,22,132,178,8.5,822,750,7,39
200,133,0,192,0,965.4,806.2,3,11.41
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
159,187,0,176,11,990,789,28,32.76
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
287,121,94,188,9,904,696,28,41.94
393,0,0,192,0,940.6,785.6,3,19.2
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
314,145,113,179,8,869,690,28,46.23
255,0,0,192,0,889.8,945,7,10.22
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
157,236,0,192,0,935.4,781.2,90,43.38
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
425,106.3,0,151.4,18.6,936,803.7,28,61.8
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
212,0,124.8,159,7.8,1085.4,799.5,28,38.5
380,95,0,228,0,932,594,365,43.7
436,0,0,218,0,838.4,719.7,28,23.85
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
236,0,0,194,0,968,885,14,12.84
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
157,214,152,200,9,819,704,28,33.05
289,0,0,192,0,913.2,895.3,3,11.65
500,0,0,200,0,1125,613,28,44.09
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
359,19,141,154,10.9,942,801,3,23.64
424,22,132,168,8.9,822,750,7,40.29
310,0,0,192,0,1012,830,120,38.7
298,0,107,164,13,953,784,28,35.86
255,0,0,192,0,889.8,945,3,8.2
288,192,0,192,0,932,717.8,90,50.53
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7
153,145,113,178,8,867,824,28,26.23
516,0,0,162,8.2,801,802,28,41.37
446,24,79,162,11.6,967,712,56,56.14
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
540,0,0,162,2.5,1040,676,28,79.99
427.5,47.5,0,228,0,932,594,90,41.54
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
314,0,113,170,10,925,783,28,38.46
322,149,0,186,8,951,709,28,52.42
198.6,132.4,0,192,0,978.4,825.5,3,9.13
284,15,141,179,5.5,842,801,28,43.73
331,0,0,192,0,1025,821,28,31.74
331,0,0,192,0,879,825,3,13.52
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.28
491,26,123,201,3.9,822,699,3,29.55
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
500.1,0,0,200,3,1124.4,613.2,28,44.13
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
307,0,0,193,0,968,812,365,36.15
393,0,0,192,0,940.6,785.6,7,27.74
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
305.3,203.5,0,203.5,0,965.4,631,3,14.14
350,0,0,203,0,974,775,90,31.35
385,0,0,186,0,966,763,14,27.92
520,0,0,175,5.2,870,805,28,51.02
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
297,0,0,186,0,1040,734,7,30.96
485,0,0,146,0,1120,800,28,71.99
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
302,0,0,203,0,974,817,28,21.75
140,133,103,200,7,916,753,28,36.44
385,0,0,186,0,966,763,7,23.22
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
310,142.8,0,167.9,10,914.3,804,28,45.3
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
500,0,0,200,0,1125,613,1,12.64
288,192,0,192,0,932,717.8,28,38.8
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
397,0,0,185.7,0,1040.6,734.3,7,25.45
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
331,170,0,195,8,811,802,28,56.61
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
310,0,0,192,0,1012,830,7,17.24
349,0,0,192,0,1056,809,3,15.87
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
332.5,142.5,0,228,0,932,594,28,33.02
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
307,0,0,193,0,968,812,3,12.54
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
173,116,0,192,0,946.8,856.8,3,6.94
316.1,210.7,0,185.7,0,977,689.3,28,38.7
350,0,0,203,0,974,775,180,32.72
